problemUrl,topic,subTopic
https://www.geeksforgeeks.org/program-count-digits-integer-3/,Step 1: Learn the Basics,1.3 Math Problems
https://leetcode.com/problems/reverse-integer/,Step 1: Learn the Basics,1.3 Math Problems
https://leetcode.com/problems/palindrome-number/,Step 1: Learn the Basics,1.3 Math Problems
https://www.geeksforgeeks.org/gcd-two-array-numbers/,Step 1: Learn the Basics,1.3 Math Problems
https://www.geeksforgeeks.org/program-for-armstrong-numbers/,Step 1: Learn the Basics,1.3 Math Problems
https://www.geeksforgeeks.org/find-all-divisors-of-a-natural-number-set-2/,Step 1: Learn the Basics,1.3 Math Problems
https://www.geeksforgeeks.org/prime-numbers/,Step 1: Learn the Basics,1.3 Math Problems
https://www.geeksforgeeks.org/selection-sort/,Step 2: Sorting Techniques,2.1 Sorting-I
https://www.geeksforgeeks.org/bubble-sort/,Step 2: Sorting Techniques,2.1 Sorting-I
https://www.geeksforgeeks.org/insertion-sort/,Step 2: Sorting Techniques,2.1 Sorting-I
https://leetcode.com/problems/sort-an-array/,Step 2: Sorting Techniques,2.2 Sorting-II
https://www.geeksforgeeks.org/quick-sort/,Step 2: Sorting Techniques,2.2 Sorting-II
https://www.geeksforgeeks.org/recursive-bubble-sort/,Step 2: Sorting Techniques,2.2 Sorting-II
https://www.geeksforgeeks.org/recursive-insertion-sort/,Step 2: Sorting Techniques,2.2 Sorting-II
https://www.geeksforgeeks.org/c-program-find-largest-element-array/,Step 3: Arrays,3.1 Easy
https://www.geeksforgeeks.org/find-second-largest-element-array/,Step 3: Arrays,3.1 Easy
https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/,Step 3: Arrays,3.1 Easy
https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Step 3: Arrays,3.1 Easy
https://www.geeksforgeeks.org/array-rotation/,Step 3: Arrays,3.1 Easy
https://leetcode.com/problems/rotate-array/,Step 3: Arrays,3.1 Easy
https://leetcode.com/problems/move-zeroes/,Step 3: Arrays,3.1 Easy
https://www.geeksforgeeks.org/linear-search/,Step 3: Arrays,3.1 Easy
https://www.geeksforgeeks.org/union-and-intersection-of-two-sorted-arrays-2/,Step 3: Arrays,3.1 Easy
https://leetcode.com/problems/intersection-of-two-arrays/,Step 3: Arrays,3.1 Easy
https://leetcode.com/problems/missing-number/,Step 3: Arrays,3.1 Easy
https://leetcode.com/problems/max-consecutive-ones/,Step 3: Arrays,3.1 Easy
https://leetcode.com/problems/single-number/,Step 3: Arrays,3.1 Easy
https://www.geeksforgeeks.org/longest-sub-array-sum-k/,Step 3: Arrays,3.1 Easy
https://leetcode.com/problems/two-sum/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/sort-colors/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/majority-element/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/maximum-subarray/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/rearrange-array-elements-by-sign/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/next-permutation/,Step 3: Arrays,3.2 Medium
https://www.geeksforgeeks.org/leaders-in-an-array/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/longest-consecutive-sequence/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/set-matrix-zeroes/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/rotate-image/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/spiral-matrix/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/subarray-sum-equals-k/,Step 3: Arrays,3.2 Medium
https://leetcode.com/problems/pascals-triangle/,Step 3: Arrays,3.3 Hard
https://leetcode.com/problems/majority-element-ii/,Step 3: Arrays,3.3 Hard
https://leetcode.com/problems/3sum/,Step 3: Arrays,3.3 Hard
